% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC, 200 MHz, 1 MOhm, 1 Vpp, 1 x probe attenuation
% Channel B (Input 2, on), DC, 200 MHz, 1 MOhm, 1 Vpp, 1 x probe attenuation
% Time span 10.95 s, time offset -506.7 us, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, output termination 50 Ohm
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2026-08-12 T 12:10:30 +1000
% no guitar
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V), Math (Ch A + Ch B) (V)
-4.704590912000e+00, 1.131833e-01, 8.366667e-02, 1.968500e-01
-4.693874304000e+00, 1.137167e-01, 8.340000e-02, 1.971167e-01
-4.683157696000e+00, 1.142333e-01, 8.260000e-02, 1.968333e-01
-4.672441088000e+00, 1.147667e-01, 8.220000e-02, 1.969667e-01
-4.661724480000e+00, 1.170333e-01, 8.046667e-02, 1.975000e-01
-4.651007872000e+00, 1.179667e-01, 7.965000e-02, 1.976167e-01
-4.640291264000e+00, 1.163667e-01, 8.086667e-02, 1.972333e-01
-4.629574656000e+00, 1.170333e-01, 8.005000e-02, 1.970833e-01
-4.618858048000e+00, 1.203667e-01, 7.750000e-02, 1.978667e-01
-4.608141440000e+00, 1.217000e-01, 7.656667e-02, 1.982667e-01
-4.597424832000e+00, 1.233000e-01, 7.536667e-02, 1.986667e-01
-4.586708224000e+00, 1.229000e-01, 7.483333e-02, 1.977333e-01
-4.575991616000e+00, 1.244833e-01, 7.390000e-02, 1.983833e-01
-4.565275008000e+00, 1.264833e-01, 7.243333e-02, 1.989167e-01
-4.554558400000e+00, 1.283333e-01, 7.030000e-02, 1.986333e-01
-4.543841792000e+00, 1.283333e-01, 7.016667e-02, 1.985000e-01
-4.533125184000e+00, 1.287333e-01, 6.976667e-02, 1.985000e-01
-4.522408576000e+00, 1.296667e-01, 6.896667e-02, 1.986333e-01
-4.511691968000e+00, 1.316667e-01, 6.763333e-02, 1.993000e-01
-4.500975360000e+00, 1.335333e-01, 6.561667e-02, 1.991500e-01
-4.490258752000e+00, 1.332667e-01, 6.601667e-02, 1.992833e-01
-4.479542144000e+00, 1.347333e-01, 6.455000e-02, 1.992833e-01
-4.468825536000e+00, 1.367333e-01, 6.280000e-02, 1.995333e-01
-4.458108928000e+00, 1.375333e-01, 6.200000e-02, 1.995333e-01
-4.447392320000e+00, 1.374000e-01, 6.213333e-02, 1.995333e-01
-4.436675712000e+00, 1.374000e-01, 6.186667e-02, 1.992667e-01
-4.425959104000e+00, 1.384667e-01, 6.133333e-02, 1.998000e-01
-4.415242496000e+00, 1.385833e-01, 6.146667e-02, 2.000500e-01
-4.404525888000e+00, 1.388500e-01, 6.146667e-02, 2.003167e-01
-4.393809280000e+00, 1.384667e-01, 6.120000e-02, 1.996667e-01
-4.383092672000e+00, 1.389833e-01, 6.146667e-02, 2.004500e-01
-4.372376064000e+00, 1.384500e-01, 6.160000e-02, 2.000500e-01
-4.361659456000e+00, 1.379333e-01, 6.253333e-02, 2.004667e-01
-4.350942848000e+00, 1.368667e-01, 6.335000e-02, 2.002167e-01
-4.340226240000e+00, 1.379333e-01, 6.200000e-02, 1.999333e-01
-4.329509632000e+00, 1.371333e-01, 6.321667e-02, 2.003500e-01
-4.318793024000e+00, 1.358000e-01, 6.468333e-02, 2.004833e-01
-4.308076416000e+00, 1.358000e-01, 6.508333e-02, 2.008833e-01
-4.297359808000e+00, 1.355333e-01, 6.441667e-02, 1.999500e-01
-4.286643200000e+00, 1.352667e-01, 6.481667e-02, 2.000833e-01
-4.275926592000e+00, 1.344667e-01, 6.588333e-02, 2.003500e-01
-4.265209984000e+00, 1.324667e-01, 6.801667e-02, 2.004833e-01
-4.254493376000e+00, 1.324667e-01, 6.761667e-02, 2.000833e-01
-4.243776768000e+00, 1.343333e-01, 6.601667e-02, 2.003500e-01
-4.233060160000e+00, 1.348667e-01, 6.548333e-02, 2.003500e-01
-4.222343552000e+00, 1.351333e-01, 6.575000e-02, 2.008833e-01
-4.211626944000e+00, 1.352667e-01, 6.561667e-02, 2.008833e-01
-4.200910336000e+00, 1.356667e-01, 6.508333e-02, 2.007500e-01
-4.190193728000e+00, 1.351333e-01, 6.601667e-02, 2.011500e-01
-4.179477120000e+00, 1.351333e-01, 6.561667e-02, 2.007500e-01
-4.168760512000e+00, 1.347333e-01, 6.681667e-02, 2.015500e-01
-4.158043904000e+00, 1.339333e-01, 6.655000e-02, 2.004833e-01
-4.147327296000e+00, 1.346000e-01, 6.668333e-02, 2.012833e-01
-4.136610688000e+00, 1.356667e-01, 6.588333e-02, 2.015500e-01
-4.125894080000e+00, 1.359333e-01, 6.535000e-02, 2.012833e-01
-4.115177472000e+00, 1.372667e-01, 6.468333e-02, 2.019500e-01
-4.104460864000e+00, 1.375333e-01, 6.388333e-02, 2.014167e-01
-4.093744256000e+00, 1.385833e-01, 6.346667e-02, 2.020500e-01
-4.083027648000e+00, 1.383167e-01, 6.361667e-02, 2.019333e-01
-4.072311040000e+00, 1.374000e-01, 6.428333e-02, 2.016833e-01
-4.061594432000e+00, 1.376667e-01, 6.375000e-02, 2.014167e-01
-4.050877824000e+00, 1.384500e-01, 6.361667e-02, 2.020667e-01
-4.040161216000e+00, 1.393833e-01, 6.253333e-02, 2.019167e-01
-4.029444608000e+00, 1.399167e-01, 6.253333e-02, 2.024500e-01
-4.018728000000e+00, 1.396500e-01, 6.253333e-02, 2.021833e-01
-4.008011392000e+00, 1.403167e-01, 6.173333e-02, 2.020500e-01
-3.997294784000e+00, 1.411000e-01, 6.186667e-02, 2.029667e-01
-3.986578176000e+00, 1.408333e-01, 6.186667e-02, 2.027000e-01
-3.975861568000e+00, 1.411000e-01, 6.186667e-02, 2.029667e-01
-3.965144960000e+00, 1.409667e-01, 6.186667e-02, 2.028333e-01
-3.954428352000e+00, 1.412333e-01, 6.173333e-02, 2.029667e-01
-3.943711744000e+00, 1.413667e-01, 6.173333e-02, 2.031000e-01
-3.932995136000e+00, 1.416333e-01, 6.173333e-02, 2.033667e-01
-3.922278528000e+00, 1.413667e-01, 6.173333e-02, 2.031000e-01
-3.911561920000e+00, 1.270167e-01, 7.765000e-02, 2.046667e-01
-3.900845312000e+00, 1.092000e-01, 9.166667e-02, 2.008667e-01
-3.890128704000e+00, 1.360500e-01, 6.921667e-02, 2.052667e-01
-3.879412096000e+00, 1.347167e-01, 6.868333e-02, 2.034000e-01
-3.868695488000e+00, 1.303333e-01, 7.363333e-02, 2.039667e-01
-3.857978880000e+00, 1.383167e-01, 6.668333e-02, 2.050000e-01
-3.847262272000e+00, 1.359167e-01, 6.881667e-02, 2.047333e-01
-3.836545664000e+00, 1.278167e-01, 7.736667e-02, 2.051833e-01
-3.825829056000e+00, 1.347333e-01, 7.030000e-02, 2.050333e-01
-3.815112448000e+00, 1.381833e-01, 6.761667e-02, 2.058000e-01
-3.804395840000e+00, 1.387167e-01, 6.575000e-02, 2.044667e-01
-3.793679232000e+00, 1.404500e-01, 6.535000e-02, 2.058000e-01
-3.782962624000e+00, 1.345833e-01, 6.961667e-02, 2.042000e-01
-3.772246016000e+00, 1.344667e-01, 6.988333e-02, 2.043500e-01
-3.761529408000e+00, 1.348500e-01, 7.001667e-02, 2.048667e-01
-3.750812800000e+00, 1.348500e-01, 6.881667e-02, 2.036667e-01
-3.740096192000e+00, 1.408500e-01, 6.388333e-02, 2.047333e-01
-3.729379584000e+00, 1.375167e-01, 6.775000e-02, 2.052667e-01
-3.718662976000e+00, 1.400500e-01, 6.468333e-02, 2.047333e-01
-3.707946368000e+00, 1.399167e-01, 6.521667e-02, 2.051333e-01
-3.697229760000e+00, 1.403167e-01, 6.508333e-02, 2.054000e-01
-3.686513152000e+00, 1.420333e-01, 6.266667e-02, 2.047000e-01
-3.675796544000e+00, 1.407167e-01, 6.401667e-02, 2.047333e-01
-3.665079936000e+00, 1.419000e-01, 6.293333e-02, 2.048333e-01
-3.654363328000e+00, 1.425667e-01, 6.200000e-02, 2.045667e-01
-3.643646720000e+00, 1.425667e-01, 6.226667e-02, 2.048333e-01
-3.632930112000e+00, 1.431000e-01, 6.240000e-02, 2.055000e-01
-3.622213504000e+00, 1.425667e-01, 6.213333e-02, 2.047000e-01
-3.611496896000e+00, 1.420333e-01, 6.320000e-02, 2.052333e-01
-3.600780288000e+00, 1.417667e-01, 6.280000e-02, 2.045667e-01
-3.590063680000e+00, 1.411167e-01, 6.388333e-02, 2.050000e-01
-3.579347072000e+00, 1.419000e-01, 6.375000e-02, 2.056500e-01
-3.568630464000e+00, 1.409667e-01, 6.375000e-02, 2.047167e-01
-3.557913856000e+00, 1.399167e-01, 6.561667e-02, 2.055333e-01
-3.547197248000e+00, 1.367333e-01, 6.790000e-02, 2.046333e-01
